,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
104,LogisticRegression_surf0_256,79.23,81.16,84.13,100.0,78.38,84.13,78.54,79.92,80.8,81.52,83.6,84.65,68.84,71.01,77.73,79.03,83.6,84.65
105,LogisticRegression_surf0_512,79.23,81.16,84.13,100.0,78.38,84.13,78.54,79.92,80.8,81.52,83.6,84.65,68.84,71.01,77.73,79.03,83.6,84.65
106,LogisticRegression_surf0_64,78.59,77.68,79.89,100.0,76.26,79.89,78.04,79.14,77.1,78.26,79.26,80.51,73.97,75.57,75.6,76.93,79.26,80.51
107,LogisticRegression_orb_128,73.02,73.94,77.08,100.0,70.51,77.08,70.52,72.34,73.17,74.72,76.29,77.88,61.34,63.66,69.6,71.43,76.29,77.88
108,LogisticRegression_orb_256,73.17,72.57,74.58,99.17,67.98,74.58,68.99,70.38,72.2,72.93,73.97,75.2,59.7,61.97,67.3,68.67,73.97,75.2
109,LogisticRegression_orb_64,74.37,75.02,78.33,100.0,71.93,78.33,71.83,73.72,74.31,75.73,77.59,79.08,63.85,66.15,70.96,72.89,77.59,79.08
110,LogisticRegression_brisk_128,72.94,67.08,69.7,99.17,67.24,69.7,72.33,73.56,66.16,68.0,68.92,70.58,76.77,78.23,66.37,68.12,68.92,70.58
111,LogisticRegression_brisk_256,75.29,75.27,73.33,99.17,71.44,73.33,73.78,75.63,74.26,76.29,72.4,74.27,75.49,77.84,70.52,72.38,72.4,74.27
112,LogisticRegression_brisk_64,74.12,73.3,68.2,99.17,67.67,68.2,73.38,74.85,72.4,74.22,67.52,68.98,81.45,83.55,66.87,68.47,67.52,68.98
113,LogisticRegression_kaze_128,74.37,75.02,78.33,100.0,71.93,78.33,71.83,73.72,74.31,75.73,77.59,79.08,63.85,66.15,70.96,72.89,77.59,79.08
114,LogisticRegression_kaze_256,78.71,78.87,76.05,99.17,70.37,76.05,78.31,79.04,78.16,79.56,69.71,71.0,90.25,91.42,69.65,70.93,69.71,71.0
115,LogisticRegression_kaze_64,78.7,76.64,70.0,99.17,76.13,70.0,78.23,79.27,76.06,77.23,77.5,78.5,79.34,80.66,75.6,76.66,77.5,78.5
116,LogisticRegression_akaze_128,78.71,78.24,79.22,100.0,75.9,79.22,77.41,78.76,77.14,78.1,78.7,79.74,75.38,77.5,75.24,76.56,78.7,79.74
117,LogisticRegression_akaze_256,78.71,78.87,76.05,99.17,70.37,76.05,78.33,79.07,78.17,79.57,69.75,71.04,90.25,91.42,69.71,70.98,69.75,71.04
118,LogisticRegression_akaze_64,78.7,76.64,70.0,99.17,76.13,70.0,78.23,79.27,76.06,77.23,77.5,78.5,79.34,80.66,75.6,76.66,77.5,78.5
119,RandomForest_sift_128,0.0,89.73,90.83,90.83,89.17,90.83,86.32,87.36,85.59,86.72,85.16,86.25,87.02,88.37,84.46,85.58,85.16,86.25
120,RandomForest_sift_256,86.67,86.46,86.2,89.17,85.49,86.2,83.2,84.79,82.07,83.74,81.79,83.47,85.6,87.2,81.32,83.03,81.79,83.47
121,RandomForest_sift_64,91.11,91.06,91.67,90.83,90.12,91.67,87.76,88.75,87.45,88.47,87.28,88.44,88.42,89.61,86.27,87.39,87.28,88.44
122,RandomForest_surf_128,88.17,89.01,86.67,90.83,86.05,86.67,85.77,86.77,85.76,86.76,83.16,84.13,87.92,89.4,83.24,84.23,83.16,84.13
123,RandomForest_surf_256,87.61,86.24,85.83,91.67,85.18,85.83,85.21,86.45,83.49,84.82,83.29,84.79,89.36,90.4,82.56,83.95,83.29,84.79
124,RandomForest_surf_64,90.79,89.8,91.67,93.33,89.36,91.67,87.51,88.55,86.29,87.47,87.33,88.52,88.54,89.79,85.4,86.6,87.33,88.52
125,RandomForest_surf100_128,90.0,94.34,95.42,95.83,94.4,95.42,91.48,92.27,90.41,91.27,90.82,91.79,92.72,93.35,90.33,91.24,90.82,91.79
126,RandomForest_surf100_256,90.34,90.89,89.13,95.76,88.49,89.13,86.69,87.52,85.9,86.95,83.37,84.51,92.63,93.41,83.58,84.62,83.37,84.51
127,RandomForest_surf100_64,90.47,89.4,90.8,93.33,88.98,90.8,88.66,89.18,86.21,87.06,86.81,87.73,90.04,90.55,86.1,86.96,86.81,87.73
128,RandomForest_surf50_128,89.79,89.11,88.3,94.92,88.01,88.3,83.88,84.86,82.49,83.63,80.97,82.16,90.08,91.04,80.82,81.93,80.97,82.16
129,RandomForest_surf50_256,0.0,89.85,87.92,96.67,88.37,87.92,87.26,88.17,86.38,87.4,84.68,85.88,92.1,92.84,84.69,85.79,84.68,85.88
130,RandomForest_surf50_512,84.57,85.56,79.63,98.15,80.59,79.63,81.47,82.83,80.46,82.33,76.49,78.19,91.25,92.29,77.13,78.92,76.49,78.19
131,RandomForest_surf50_64,89.23,88.32,88.3,92.0,87.58,88.3,84.33,85.27,82.78,83.91,81.64,82.71,89.05,90.08,81.6,82.64,81.64,82.71
